datetime,open,high,low,close,volume
2022-09-22,117.08000,118.79000,116.26000,117.31000,55229200
2022-09-21,122.49000,123.76000,118.45000,118.54000,58498900
2022-09-20,123.35000,124.40000,121.14000,122.19000,47698400
2022-09-19,122.16000,124.71000,121.80000,124.66000,47279700
2022-09-16,122.78000,123.87000,120.70000,123.53000,115667800
2022-09-15,127.38000,130.37000,125.50000,126.28000,52887200
2022-09-14,127.36000,128.84000,126.33000,128.55000,45316800
2022-09-13,131.00999,131.39999,126.27000,126.82000,72694000
2022-09-12,134.10001,136.49001,134.00000,136.45000,53826900
2022-09-09,130.91000,133.69000,130.75999,133.27000,49387600
2022-09-08,127.72000,130.28000,127.10000,129.82001,43988500
2022-09-07,126.12000,129.82001,125.40000,129.48000,47900300
2022-09-06,127.92000,128.62000,124.74000,126.11000,43888600
2022-09-02,129.50000,131.38000,126.39000,127.51000,57429800
2022-09-01,126.00000,128.02000,123.66000,127.82000,56636100
2022-08-31,129.45000,130.59000,126.74000,126.77000,53648700
2022-08-30,131.25000,132.07001,126.85000,128.73000,49203000
2022-08-29,129.89999,131.95000,128.77000,129.78999,48101600
2022-08-26,136.55000,137.83000,130.50000,130.75000,53322700
2022-08-25,135.25999,137.42000,134.28000,137.28000,37496300
2022-08-24,132.75000,135.47000,132.10001,133.80000,38627000
2022-08-23,133.41000,134.99001,132.95000,133.62000,36252100
2022-08-22,135.72000,136.32001,132.85001,133.22000,50461500
2022-08-19,140.47000,141.11000,137.91000,138.23000,47792800
2022-08-18,141.32001,142.77000,140.38000,142.30000,37458700
2022-08-17,142.69000,143.38000,140.78000,142.10001,48149800
2022-08-16,143.91000,146.57001,142.00000,144.78000,59102900
2022-08-15,142.80000,143.75999,141.49001,143.17999,39014600
2022-08-12,142.05000,143.57001,140.12000,143.55000,47643500
2022-08-11,143.86000,144.49001,139.75999,140.64000,44867300
2022-08-10,142.89999,144.60001,141.00999,142.69000,54773800
2022-08-09,138.05000,138.95000,136.21001,137.83000,40434700
2022-08-08,142.05000,144.23000,138.28999,139.41000,52229000
2022-08-05,140.10001,142.86000,139.60001,140.80000,50686900
2022-08-04,140.58000,143.56000,139.55000,142.57001,70585000
2022-08-03,136.21001,140.49001,136.05000,139.52000,71827800
2022-08-02,134.72000,137.44000,134.09000,134.16000,61922400
2022-08-01,134.96001,138.83000,133.50999,135.39000,76846900
2022-07-29,134.89999,137.64999,132.41000,134.95000,148892900
2022-07-28,121.57000,122.84000,118.08000,122.28000,82245500
2022-07-27,117.31000,121.90000,117.16000,120.97000,61582000
2022-07-26,115.79000,118.15000,114.53000,114.81000,67075100
2022-07-25,122.70000,123.64000,120.03000,121.14000,50221300
2022-07-22,125.01000,125.50000,121.35000,122.42000,51463800
2022-07-21,123.20000,124.85000,121.26000,124.63000,60239900
2022-07-20,118.62000,123.48000,118.32000,122.77000,71268300
2022-07-19,115.70000,118.95000,114.03000,118.21000,60990000
2022-07-18,115.00000,117.24000,113.15000,113.76000,59115400
2022-07-15,112.50000,115.59000,111.59000,113.55000,84317800
2022-07-14,110.24000,111.18000,107.58000,110.63000,51163100
2022-07-13,107.03000,111.78000,106.01000,110.40000,61353800
2022-07-12,112.16000,113.23000,108.34000,109.22000,54280300
2022-07-11,114.08000,114.30000,110.87000,111.75000,53487600
2022-07-08,114.60000,116.58000,113.69000,115.54000,45719700
2022-07-07,113.85000,116.99000,113.49000,116.33000,57872300
2022-07-06,113.21000,115.48000,112.01000,114.33000,66958900
2022-07-05,107.60000,114.08000,106.32000,113.50000,76583700
2022-07-01,106.29000,109.75000,105.85000,109.56000,73021200
2022-06-30,108.11000,108.18000,102.52000,106.21000,97679400
2022-06-29,107.38000,110.99000,106.91000,108.92000,66375300
2022-06-28,113.50000,114.85000,107.04000,107.40000,74942900
2022-06-27,117.09000,117.98000,112.70000,113.22000,62133200
2022-06-24,112.38000,116.71000,111.43000,116.46000,69867600
2022-06-23,110.39000,113.00000,107.93000,112.44000,64345300
2022-06-22,107.43000,112.13000,107.02000,108.95000,60040100
2022-06-21,108.20000,111.63000,103.56000,108.68000,70901200
2022-06-17,102.80000,106.98000,102.51000,106.22000,99772100
2022-06-16,104.47000,104.58000,102.01000,103.66000,82186300
2022-06-15,103.86000,109.06000,103.53000,107.67000,85011100
2022-06-14,104.19000,104.88000,101.43000,102.31000,69728800
2022-06-13,104.19000,106.54000,101.86000,103.67000,99277700
2022-06-10,113.42000,114.50000,109.05000,109.65000,87266000
2022-06-09,119.99000,121.30000,116.10000,116.15000,67029800
2022-06-08,122.61000,123.75000,120.75000,121.18000,64926600
2022-06-07,122.01000,124.10000,120.63000,123.00000,85156700
2022-06-06,125.25000,128.99001,123.81000,124.79000,135269000
2022-06-03,124.20000,124.40000,121.04650,122.35000,97604000
2022-06-02,121.68400,125.61000,120.04500,125.51100,100560000
2022-06-01,122.25600,125.17900,120.62250,121.68400,127528000
2022-05-31,116.28000,121.99450,115.67500,120.20950,144634000
2022-05-27,113.55000,115.18700,112.62800,115.14650,93660000
2022-05-26,107.97000,112.66550,107.45350,111.07750,93002000
2022-05-25,103.65550,108.17500,103.65000,106.77500,93120000
2022-05-24,104.02500,105.40000,101.26000,104.10000,102934000
2022-05-23,108.46100,108.81900,103.95000,107.55700,107798000
2022-05-20,109.56850,109.89800,105.00950,107.59100,99500000
2022-05-19,106.28050,110.03400,106.19300,107.31900,88142000
2022-05-18,111.43950,112.85300,106.24900,107.11250,108380000
2022-05-17,113.27500,115.80000,111.27650,115.36850,76448000
2022-05-16,113.10000,113.99250,110.35400,110.81050,74566000
2022-05-13,109.06900,113.18400,107.80000,113.05500,93684000
2022-05-12,102.75000,110.78050,102.40550,106.93050,132026000
2022-05-11,108.10350,110.15600,104.42850,105.37200,109704000
2022-05-10,111.25000,112.64250,107.17100,108.85900,105434000
2022-05-09,111.31250,114.00000,107.95700,108.78900,128124000
2022-05-06,114.85000,119.05050,113.08150,114.77250,124260000
2022-05-05,123.00000,123.49900,115.07250,116.40700,144392000
2022-05-04,123.60000,126.00000,119.18300,125.92850,110746000
2022-05-03,124.05350,126.22050,122.82500,124.25350,79134000
2022-05-02,122.40100,124.66800,118.37500,124.50000,148788000
2022-04-29,129.84900,130.76100,121.62500,124.28150,272662000
2022-04-28,142.17799,145.93750,140.30000,144.59650,117316000
2022-04-27,140.19150,141.94850,135.78349,138.16701,71336000
2022-04-26,144.80000,144.85600,138.92950,139.39101,77530000
2022-04-25,144.02299,146.22150,142.30650,146.07401,61874000
2022-04-22,148.25000,149.61501,143.69749,144.35001,73078000
2022-04-21,154.71400,156.73801,147.58949,148.29601,63970000
2022-04-20,157.60249,157.60249,153.60350,153.99800,59630000
2022-04-19,152.02950,158.64900,151.55051,158.11549,54926000
2022-04-18,151.52350,154.03951,150.25050,152.78500,46514000
2022-04-14,155.39000,155.89700,151.47200,151.70650,51598000
2022-04-13,150.01849,156.02499,149.60001,155.54100,53390000
2022-04-12,153.69250,155.09900,150.38300,150.78751,55178000
2022-04-11,152.71300,154.13651,150.53450,151.12199,52112000
2022-04-08,156.75000,157.36850,154.23100,154.46049,46002000
2022-04-07,158.39999,160.07899,154.51151,157.78450,68136000
2022-04-06,161.65050,162.20000,157.25450,158.75600,79056000
2022-04-05,167.74150,168.11050,163.26601,164.05499,53728000
2022-04-04,164.12500,168.39450,163.20551,168.34650,49882000
2022-04-01,164.14951,165.82700,162.31950,163.56000,57090000
2022-03-31,166.44501,166.49500,162.95351,162.99750,59966000
2022-03-30,168.50951,168.95050,165.50000,166.30099,56168000
2022-03-29,170.38400,170.83150,167.86850,169.31500,66154000
2022-03-28,164.97501,169.03751,164.89999,168.99049,59854000
2022-03-25,164.00000,165.36850,162.25000,164.77350,49032000
2022-03-24,163.74950,164.11850,160.05000,163.64951,56798000
2022-03-23,163.70500,166.37000,162.68700,163.40800,55812000
2022-03-22,161.80550,166.16701,161.69901,164.88901,64086000
2022-03-21,161.12100,163.08400,159.55299,161.49150,66538000
2022-03-18,156.81300,161.59399,156.01100,161.25050,102962000
2022-03-17,152.64050,157.49850,152.14000,157.23900,72934000
2022-03-16,148.50000,153.14999,147.35350,153.10400,84958000
2022-03-15,142.85001,147.98500,142.00000,147.36650,75584000
2022-03-14,145.98100,147.45000,140.88400,141.85300,74086000
2022-03-11,149.57449,149.67500,145.36900,145.52451,68900000
2022-03-10,145.68500,148.67450,143.97800,146.81750,135062000
2022-03-09,139.50000,140.25000,136.82800,139.27901,82656000
2022-03-08,136.68350,140.69949,133.57249,136.01450,91662000
2022-03-07,145.44350,146.09450,137.41650,137.45300,86934000
2022-03-04,147.15900,147.85001,143.80701,145.64101,60934000
2022-03-03,153.53149,153.92900,146.85600,147.89850,65198000
2022-03-02,150.84900,152.99950,148.75000,152.05251,47334000
2022-03-01,152.73250,154.09900,149.97701,151.14200,44874000
2022-02-28,152.42500,154.45000,150.85001,153.56300,57684000
2022-02-25,150.55000,153.99001,149.21350,153.78850,62396000
2022-02-24,139.83749,151.74899,139.50000,151.35800,100786000
2022-02-23,151.65050,151.76300,144.65100,144.82700,64244000
2022-02-22,150.47850,152.98250,148.48550,150.19749,66128000
2022-02-18,155.49950,155.49950,150.89301,152.60150,63604000
2022-02-17,158.14600,160.34900,154.50000,154.65250,64032000
2022-02-16,155.79050,158.83400,154.73450,158.10049,52704000
